plot_id,khasra_number,khata_number,village_name,village_name_hi,owner_name_en,owner_name_hi,father_name_en,father_name_hi,land_type,land_type_hi,computed_area_sqm,recorded_area_sqm,area_difference_sqm,area_text,has_discrepancy,discrepancy_severity,discrepancy_percentage,record_status,irrigation_type_en,current_crop_en,soil_type_en,rate_per_sqm,estimated_value_inr,source_document,survey_year,centroid_lat,centroid_lon
172035/477/17,477,331,Gordhanpura,गोर्धनपुरा,Hari Pandey,हरि पांडेय,Hari Gurjar,हरि गुर्जर,residential,आवासीय,23973.31,23781.63,-191.68,9 बीघा 10 बिस्वा,False,,0,verified,Well,,Red,18103,430518837.11,जमाबंदी,2020,26.050605,74.731316
172035/307/18,307,371,Gordhanpura,गोर्धनपुरा,Radha Rajput,राधा राजपूत,Anil Jat,अनिल जाट,agricultural,कृषि भूमि,36728.98,37404.86,675.88,14 बीघा 19 बिस्वा,False,,0,verified,Rain Fed,Moong,Loamy,591,22106270.21,खसरा,2018,26.050197,74.734888
172035/692/19,692,166,Gordhanpura,गोर्धनपुरा,Anil Gupta,अनिल गुप्ता,Vishnu Tripathi,विष्णु त्रिपाठी,forest,वन भूमि,28062.9,20797.23,-7265.67,8 बीघा 6 बिस्वा,True,high,-25.9,needs_review,Rain Fed,,Loamy,719,14953209.17,खतौनी,2019,26.050787,74.738892
172035/899/20,899,242,Gordhanpura,गोर्धनपुरा,Ram Chauhan,राम चौहान,Vinod Yadav,विनोद यादव,agricultural,कृषि भूमि,15659.11,15613.44,-45.67,6 बीघा 4 बिस्वा,False,,0,verified,Pond,Mustard,Red,1092,17049879.22,पट्टा,2019,26.051589,74.742957
172035/369/21,369,499,Gordhanpura,गोर्धनपुरा,Radha Pandey,राधा पांडेय,Narayan Chauhan,नारायण चौहान,agricultural,कृषि भूमि,13632.78,13803.85,171.07,5 बीघा 10 बिस्वा,False,,0,verified,Well,Maize,Black,1880,25951235.17,जमाबंदी,2017,26.050443,74.74641
172035/273/22,273,383,Gordhanpura,गोर्धनपुरा,Sohan Sharma,सोहन शर्मा,Jagdish Chauhan,जगदीश चौहान,agricultural,कृषि भूमि,23490.8,23586.4,95.6,9 बीघा 8 बिस्वा,False,,0,verified,Canal,Moong,Red,667,15732128.47,खतौनी,2018,26.05158,74.750423
172035/904/23,904,15,Gordhanpura,गोर्धनपुरा,Shankar Meena,शंकर मीना,Geeta Chauhan,गीता चौहान,barren,बंजर,14236.55,14392.07,155.52,5 बीघा 15 बिस्वा,False,,0,verified,Pond,,Clay,484,6965760.82,खतौनी,2021,26.055068,74.710319
172035/972/24,972,155,Gordhanpura,गोर्धनपुरा,Krishna Rai,कृष्ण राय,Parvati Rai,पार्वती राय,agricultural,कृषि भूमि,11592.55,11617.09,24.54,4 बीघा 12 बिस्वा,False,,0,verified,Canal,Mustard,Clay,637,7400084.94,जमाबंदी,2022,26.055139,74.715215
172035/1/25,1,157,Gordhanpura,गोर्धनपुरा,Shyam Patel,श्याम पटेल,Narayan Jat,नारायण जाट,agricultural,कृषि भूमि,14789.82,9582.47,-5207.35,3 बीघा 16 बिस्वा,True,high,-35.2,needs_review,Pond,Moong,Red,1247,11949341.89,खतौनी,2015,26.055385,74.718516
172035/523/26,523,185,Gordhanpura,गोर्धनपुरा,Rajesh Gupta,राजेश गुप्ता,Suresh Verma,सुरेश वर्मा,residential,आवासीय,14958.0,15152.56,194.56,6 बीघा 1 बिस्वा,False,,0,verified,Pond,,Clay,11999,181815555.86,पट्टा,2020,26.055389,74.723462
172035/116/27,116,346,Gordhanpura,गोर्धनपुरा,Ram Chauhan,राम चौहान,Hari Kumawat,हरि कुमावत,agricultural,कृषि भूमि,20946.7,21278.52,331.82,8 बीघा 10 बिस्वा,False,,0,verified,Well,Wheat,Loamy,1312,27917411.94,खतौनी,2016,26.054722,74.726994
172035/813/28,813,179,Gordhanpura,गोर्धनपुरा,Vinod Patel,विनोद पटेल,Shankar Sharma,शंकर शर्मा,agricultural,कृषि भूमि,8250.74,8243.09,-7.65,3 बीघा 5 बिस्वा,False,,0,verified,Tube Well,Moong,Red,1935,15950386.05,खतौनी,2024,26.054382,74.730343
172035/20/29,20,96,Gordhanpura,गोर्धनपुरा,Sohan Gurjar,सोहन गुर्जर,Krishna Singh,कृष्ण सिंह,agricultural,कृषि भूमि,14191.46,14086.44,-105.02,5 बीघा 12 बिस्वा,False,,0,verified,Well,Moong,Clay,1422,20030914.32,खतौनी,2017,26.054112,74.735151
172035/624/30,624,293,Gordhanpura,गोर्धनपुरा,Sohan Singh,सोहन सिंह,Suresh Kumawat,सुरेश कुमावत,residential,आवासीय,7523.96,7579.57,55.61,3 बीघा 0 बिस्वा,False,,0,verified,Rain Fed,,Sandy,14290,108312085.52,जमाबंदी,2022,26.054127,74.738525
172035/83/31,83,328,Gordhanpura,गोर्धनपुरा,Bhagwan Kumawat,भगवान कुमावत,Ram Meena,राम मीना,agricultural,कृषि भूमि,131504.0,132238.88,734.88,52 बीघा 17 बिस्वा,False,,0,verified,Canal,Wheat,Red,862,113989912.41,खतौनी,2023,26.054547,74.741859
172035/51/32,51,372,Gordhanpura,गोर्धनपुरा,Mahesh Mishra,महेश मिश्रा,Brajesh Chauhan,ब्रजेश चौहान,agricultural,कृषि भूमि,11018.98,11138.81,119.83,4 बीघा 9 बिस्वा,False,,0,verified,None,Moong,Loamy,1169,13021273.75,पट्टा,2020,26.05389,74.747219
172035/52/33,52,402,Gordhanpura,गोर्धनपुरा,Saraswati Meena,सरस्वती मीना,Rajesh Rai,राजेश राय,agricultural,कृषि भूमि,25488.86,25700.93,212.07,10 बीघा 5 बिस्वा,False,,0,verified,Well,Maize,Clay,728,18710280.03,खसरा,2018,26.054234,74.750856
172035/635/34,635,46,Gordhanpura,गोर्धनपुरा,Shankar Singh,शंकर सिंह,Ramesh Meena,रमेश मीना,agricultural,कृषि भूमि,46631.12,46126.54,-504.58,18 बीघा 9 बिस्वा,False,,0,verified,None,Other,Sandy,615,28367824.29,पट्टा,2024,26.058467,74.711436
172035/615/35,615,15,Gordhanpura,गोर्धनपुरा,Rajesh Kumawat,राजेश कुमावत,Ram Kumawat,राम कुमावत,barren,बंजर,81486.12,80854.67,-631.45,32 बीघा 6 बिस्वा,False,,0,verified,None,,Black,165,13341020.84,पट्टा,2021,26.058694,74.713775
172035/446/36,446,490,Gordhanpura,गोर्धनपुरा,Mahesh Pandey,महेश पांडेय,Vinod Yadav,विनोद यादव,residential,आवासीय,41088.16,41246.01,157.85,16 बीघा 9 बिस्वा,False,,0,verified,Rain Fed,,Red,10387,428422325.75,पट्टा,2021,26.05845,74.718168
172035/204/37,204,220,Gordhanpura,गोर्धनपुरा,Parvati Gurjar,पार्वती गुर्जर,Durga Jat,दुर्गा जाट,commercial,वाणिज्यिक,23619.88,23751.3,131.42,9 बीघा 10 बिस्वा,False,,0,verified,Tube Well,,Red,46728,1109850518.01,खतौनी,2022,26.058087,74.723031
172035/985/38,985,487,Gordhanpura,गोर्धनपुरा,Vishnu Gurjar,विष्णु गुर्जर,Lakshmi Tiwari,लक्ष्मी तिवारी,agricultural,कृषि भूमि,15256.82,17759.57,2502.75,7 बीघा 2 बिस्वा,True,medium,16.4,needs_review,Canal,Rice,Loamy,1526,27101097.1,पट्टा,2020,26.059031,74.727664
172035/697/39,697,84,Gordhanpura,गोर्धनपुरा,Suresh Rai,सुरेश राय,Brajesh Kumawat,ब्रजेश कुमावत,agricultural,कृषि भूमि,11911.48,11861.25,-50.23,4 बीघा 14 बिस्वा,False,,0,verified,Rain Fed,Maize,Clay,961,11398658.42,बी-1,2017,26.057849,74.731217
172035/830/40,830,423,Gordhanpura,गोर्धनपुरा,Shyam Tripathi,श्याम त्रिपाठी,Ramesh Sharma,रमेश शर्मा,barren,बंजर,21333.89,21487.47,153.58,8 बीघा 11 बिस्वा,False,,0,verified,Rain Fed,,Red,267,5737154.4,पट्टा,2015,26.058032,74.734136
172035/236/41,236,179,Gordhanpura,गोर्धनपुरा,Geeta Rai,गीता राय,Durga Gupta,दुर्गा गुप्ता,forest,वन भूमि,8488.0,8469.87,-18.13,3 बीघा 7 बिस्वा,False,,0,verified,Canal,,Red,764,6470981.15,जमाबंदी,2022,26.059584,74.73889
172035/51/42,51,236,Gordhanpura,गोर्धनपुरा,Ramu Meena,रामू मीना,Mohan Dubey,मोहन दुबे,agricultural,कृषि भूमि,15437.73,15428.56,-9.17,6 बीघा 3 बिस्वा,False,,0,verified,None,Other,Sandy,974,15027419.28,जमाबंदी,2024,26.058225,74.74321
172035/218/43,218,41,Gordhanpura,गोर्धनपुरा,Sita Patel,सीता पटेल,Anil Tiwari,अनिल तिवारी,residential,आवासीय,7318.83,7352.9,34.07,2 बीघा 18 बिस्वा,False,,0,verified,Well,,Clay,5589,41095385.47,खतौनी,2015,26.058918,74.747675
172035/572/44,572,366,Gordhanpura,गोर्धनपुरा,Ramu Tripathi,रामू त्रिपाठी,Mohan Tiwari,मोहन तिवारी,agricultural,कृषि भूमि,19215.77,19026.83,-188.94,7 बीघा 12 बिस्वा,False,,0,verified,Pond,Wheat,Sandy,528,10046165.98,खसरा,2021,26.058578,74.750725
172035/721/45,721,161,Gordhanpura,गोर्धनपुरा,Brajesh Tiwari,ब्रजेश तिवारी,Suresh Gupta,सुरेश गुप्ता,forest,वन भूमि,14599.5,14527.9,-71.6,5 बीघा 16 बिस्वा,False,,0,verified,Rain Fed,,Red,265,3849892.82,पट्टा,2021,26.062769,74.711053
172035/790/46,790,372,Gordhanpura,गोर्धनपुरा,Brajesh Pandey,ब्रजेश पांडेय,Mahesh Sharma,महेश शर्मा,agricultural,कृषि भूमि,22845.7,22682.52,-163.18,9 बीघा 1 बिस्वा,False,,0,verified,Tube Well,Mustard,Loamy,1927,43709220.87,बी-1,2022,26.061719,74.71451
172035/963/47,963,280,Gordhanpura,गोर्धनपुरा,Geeta Meena,गीता मीना,Geeta Pandey,गीता पांडेय,agricultural,कृषि भूमि,20927.81,14651.57,-6276.24,5 बीघा 17 बिस्वा,True,high,-30.0,needs_review,Rain Fed,Rice,Sandy,1225,17948170.52,बी-1,2021,26.061892,74.71915
172035/706/48,706,116,Gordhanpura,गोर्धनपुरा,Rajesh Gupta,राजेश गुप्ता,Krishna Mishra,कृष्ण मिश्रा,agricultural,कृषि भूमि,16616.04,16361.0,-255.04,6 बीघा 10 बिस्वा,False,,0,verified,Rain Fed,Wheat,Black,1023,16737302.61,पट्टा,2021,26.06339,74.723057
172035/410/49,410,401,Gordhanpura,गोर्धनपुरा,Radha Rajput,राधा राजपूत,Gopal Tiwari,गोपाल तिवारी,agricultural,कृषि भूमि,15189.79,15414.48,224.69,6 बीघा 3 बिस्वा,False,,0,verified,Rain Fed,Wheat,Clay,1597,24616916.58,खसरा,2020,26.063632,74.727616
172035/539/50,539,423,Gordhanpura,गोर्धनपुरा,Sita Sharma,सीता शर्मा,Ram Mishra,राम मिश्रा,commercial,वाणिज्यिक,26183.52,26638.34,454.82,10 बीघा 13 बिस्वा,False,,0,verified,Canal,,Black,25248,672564898.17,बी-1,2022,26.063079,74.730508
172035/517/51,517,262,Gordhanpura,गोर्धनपुरा,Durga Tiwari,दुर्गा तिवारी,Durga Tiwari,दुर्गा तिवारी,agricultural,कृषि भूमि,84314.16,85908.45,1594.29,34 बीघा 7 बिस्वा,False,,0,verified,Pond,Wheat,Black,580,49826903.57,खसरा,2019,26.061777,74.73426
172035/524/52,524,55,Gordhanpura,गोर्धनपुरा,Saraswati Kumawat,सरस्वती कुमावत,Bhagwan Rai,भगवान राय,forest,वन भूमि,29114.48,33648.83,4534.35,13 बीघा 9 बिस्वा,True,medium,15.6,needs_review,Tube Well,,Sandy,450,15141971.36,खसरा,2023,26.061945,74.738219
172035/924/53,924,375,Gordhanpura,गोर्धनपुरा,Shyam Rajput,श्याम राजपूत,Rajesh Patel,राजेश पटेल,agricultural,कृषि भूमि,20183.62,20495.68,312.06,8 बीघा 3 बिस्वा,False,,0,verified,Well,Other,Sandy,1702,34883642.33,बी-1,2020,26.063306,74.742792
172035/424/54,424,86,Gordhanpura,गोर्धनपुरा,Krishna Rai,कृष्ण राय,Ram Verma,राम वर्मा,forest,वन भूमि,20857.11,21144.82,287.71,8 बीघा 9 बिस्वा,False,,0,verified,Canal,,Black,423,8944257.13,पट्टा,2023,26.063133,74.746328
172035/28/55,28,122,Gordhanpura,गोर्धनपुरा,Ram Tiwari,राम तिवारी,Krishna Verma,कृष्ण वर्मा,agricultural,कृषि भूमि,15045.65,15158.94,113.29,6 बीघा 1 बिस्वा,False,,0,verified,Pond,Maize,Loamy,1879,28483641.58,बी-1,2018,26.062744,74.750701
172035/48/56,48,249,Gordhanpura,गोर्धनपुरा,Gopal Yadav,गोपाल यादव,Hari Verma,हरि वर्मा,agricultural,कृषि भूमि,12572.33,12381.07,-191.26,4 बीघा 19 बिस्वा,False,,0,verified,Canal,Rice,Sandy,855,10585815.54,पट्टा,2022,26.065813,74.710771
172035/11/57,11,164,Gordhanpura,गोर्धनपुरा,Parvati Rajput,पार्वती राजपूत,Jagdish Patel,जगदीश पटेल,agricultural,कृषि भूमि,10715.78,10751.29,35.51,4 बीघा 6 बिस्वा,False,,0,verified,Well,Maize,Sandy,1472,15825904.36,खतौनी,2017,26.066073,74.715079
172035/364/58,364,257,Gordhanpura,गोर्धनपुरा,Sohan Jat,सोहन जाट,Lakshmi Verma,लक्ष्मी वर्मा,agricultural,कृषि भूमि,10680.24,10882.57,202.33,4 बीघा 7 बिस्वा,False,,0,verified,Canal,Wheat,Red,846,9206654.7,खतौनी,2024,26.067212,74.718371
172035/666/59,666,320,Gordhanpura,गोर्धनपुरा,Narayan Yadav,नारायण यादव,Sohan Singh,सोहन सिंह,agricultural,कृषि भूमि,62017.1,61779.68,-237.42,24 बीघा 14 बिस्वा,False,,0,verified,Canal,Millet,Black,1849,114230625.4,खतौनी,2016,26.067749,74.723066
172035/17/60,17,321,Gordhanpura,गोर्धनपुरा,Suresh Gurjar,सुरेश गुर्जर,Ramu Dubey,रामू दुबे,forest,वन भूमि,27312.59,26774.6,-537.99,10 बीघा 14 बिस्वा,False,,0,verified,Tube Well,,Clay,651,17430265.54,खतौनी,2018,26.066522,74.725868
172035/806/61,806,36,Gordhanpura,गोर्धनपुरा,Ramesh Yadav,रमेश यादव,Mahesh Verma,महेश वर्मा,agricultural,कृषि भूमि,8358.07,8232.85,-125.22,3 बीघा 5 बिस्वा,False,,0,verified,Pond,Wheat,Red,579,4766822.23,पट्टा,2023,26.067288,74.730888
172035/766/62,766,213,Gordhanpura,गोर्धनपुरा,Gopal Kumawat,गोपाल कुमावत,Vishnu Singh,विष्णु सिंह,agricultural,कृषि भूमि,39639.14,40374.23,735.09,16 बीघा 2 बिस्वा,False,,0,verified,None,Gram,Red,1863,75217185.55,बी-1,2023,26.067186,74.73526
172035/639/63,639,112,Gordhanpura,गोर्धनपुरा,Krishna Verma,कृष्ण वर्मा,Lakshmi Rajput,लक्ष्मी राजपूत,agricultural,कृषि भूमि,37498.68,37021.29,-477.39,14 बीघा 16 बिस्वा,False,,0,verified,Pond,Wheat,Sandy,1823,67489813.17,बी-1,2023,26.067077,74.738087
172035/527/64,527,467,Gordhanpura,गोर्धनपुरा,Hari Verma,हरि वर्मा,Lakshmi Rajput,लक्ष्मी राजपूत,agricultural,कृषि भूमि,19708.24,19643.58,-64.66,7 बीघा 17 बिस्वा,False,,0,verified,Canal,Wheat,Black,506,9939651.96,खतौनी,2020,26.065885,74.74245
172035/210/65,210,52,Gordhanpura,गोर्धनपुरा,Brajesh Chauhan,ब्रजेश चौहान,Brajesh Verma,ब्रजेश वर्मा,agricultural,कृषि भूमि,30133.81,29978.96,-154.85,11 बीघा 19 बिस्वा,False,,0,verified,Tube Well,Other,Red,698,20925313.13,खसरा,2022,26.067574,74.747606
172035/424/66,424,59,Gordhanpura,गोर्धनपुरा,Vinod Patel,विनोद पटेल,Radha Gurjar,राधा गुर्जर,residential,आवासीय,18698.71,18633.3,-65.41,7 बीघा 9 बिस्वा,False,,0,verified,Well,,Black,9354,174295924.43,पट्टा,2023,26.067552,74.75131
172035/100/67,100,269,Gordhanpura,गोर्धनपुरा,Vinod Sharma,विनोद शर्मा,Ramesh Patel,रमेश पटेल,residential,आवासीय,71466.96,71694.3,227.34,28 बीघा 13 बिस्वा,False,,0,verified,None,,Clay,7219,517561134.89,बी-1,2016,26.071225,74.711102
172035/991/68,991,53,Gordhanpura,गोर्धनपुरा,Ramu Rajput,रामू राजपूत,Ram Singh,राम सिंह,agricultural,कृषि भूमि,14298.66,18970.95,4672.29,7 बीघा 11 बिस्वा,True,high,32.7,needs_review,Well,Millet,Red,1998,37903956.29,जमाबंदी,2015,26.070761,74.713837
172035/582/69,582,99,Gordhanpura,गोर्धनपुरा,Anil Meena,अनिल मीना,Krishna Patel,कृष्ण पटेल,agricultural,कृषि भूमि,84446.61,85489.68,1043.07,34 बीघा 3 बिस्वा,False,,0,verified,Well,Mustard,Red,1327,113444811.66,खतौनी,2021,26.070344,74.717815
172035/714/70,714,292,Gordhanpura,गोर्धनपुरा,Lakshmi Sharma,लक्ष्मी शर्मा,Vishnu Gurjar,विष्णु गुर्जर,agricultural,कृषि भूमि,21071.48,13719.78,-7351.7,5 बीघा 9 बिस्वा,True,high,-34.9,needs_review,Canal,Rice,Black,1754,24064495.54,पट्टा,2015,26.069841,74.723369
172035/373/71,373,455,Gordhanpura,गोर्धनपुरा,Rajesh Jat,राजेश जाट,Durga Sharma,दुर्गा शर्मा,commercial,वाणिज्यिक,21560.15,21348.83,-211.32,8 बीघा 10 बिस्वा,False,,0,verified,Pond,,Loamy,48593,1037403505.13,खसरा,2015,26.070974,74.727676
172035/523/72,523,208,Gordhanpura,गोर्धनपुरा,Durga Tiwari,दुर्गा तिवारी,Bhagwan Meena,भगवान मीना,agricultural,कृषि भूमि,15633.55,15671.15,37.6,6 बीघा 5 बिस्वा,False,,0,verified,None,Other,Red,1797,28161050.4,बी-1,2020,26.070585,74.731145
172035/802/73,802,179,Gordhanpura,गोर्धनपुरा,Lakshmi Chauhan,लक्ष्मी चौहान,Ramesh Chauhan,रमेश चौहान,agricultural,कृषि भूमि,94928.69,94151.02,-777.67,37 बीघा 13 बिस्वा,False,,0,verified,Canal,Mustard,Red,1972,185665804.11,बी-1,2022,26.071482,74.734252
172035/836/74,836,249,Gordhanpura,गोर्धनपुरा,Jagdish Chauhan,जगदीश चौहान,Vishnu Tiwari,विष्णु तिवारी,agricultural,कृषि भूमि,21667.97,21920.47,252.5,8 बीघा 15 बिस्वा,False,,0,verified,Rain Fed,Gram,Sandy,1148,25164695.9,बी-1,2023,26.0711,74.738512
172035/382/75,382,282,Gordhanpura,गोर्धनपुरा,Suresh Mishra,सुरेश मिश्रा,Bhagwan Singh,भगवान सिंह,agricultural,कृषि भूमि,26388.08,30635.73,4247.65,12 बीघा 5 बिस्वा,True,medium,16.1,needs_review,Tube Well,Wheat,Loamy,708,21690098.51,खसरा,2020,26.071571,74.743201
172035/199/76,199,328,Gordhanpura,गोर्धनपुरा,Jagdish Verma,जगदीश वर्मा,Radha Pandey,राधा पांडेय,barren,बंजर,21279.38,21070.99,-208.39,8 बीघा 8 बिस्वा,False,,0,verified,Well,,Red,234,4930612.28,खसरा,2019,26.069866,74.747194
172035/699/77,699,168,Gordhanpura,गोर्धनपुरा,Bhagwan Singh,भगवान सिंह,Durga Chauhan,दुर्गा चौहान,agricultural,कृषि भूमि,67345.09,66182.31,-1162.78,26 बीघा 9 बिस्वा,False,,0,verified,Well,Other,Black,1413,93515597.01,पट्टा,2018,26.07156,74.750558
172035/358/78,358,372,Gordhanpura,गोर्धनपुरा,Rajesh Meena,राजेश मीना,Parvati Dubey,पार्वती दुबे,agricultural,कृषि भूमि,23743.06,23965.38,222.32,9 बीघा 11 बिस्वा,False,,0,verified,Canal,Rice,Black,1900,45534212.85,खसरा,2018,26.07535,74.709976
172035/138/79,138,89,Gordhanpura,गोर्धनपुरा,Sita Meena,सीता मीना,Parvati Patel,पार्वती पटेल,residential,आवासीय,21448.55,21670.84,222.29,8 बीघा 13 बिस्वा,False,,0,verified,Well,,Clay,17273,374320339.22,बी-1,2017,26.075449,74.714791
172035/578/80,578,315,Gordhanpura,गोर्धनपुरा,Dinesh Pandey,दिनेश पांडेय,Mahesh Gupta,महेश गुप्ता,residential,आवासीय,10443.76,13898.95,3455.19,5 बीघा 11 बिस्वा,True,high,33.1,needs_review,Well,,Red,14698,204286720.92,बी-1,2020,26.074815,74.718663
172035/263/81,263,251,Gordhanpura,गोर्धनपुरा,Krishna Verma,कृष्ण वर्मा,Anil Gurjar,अनिल गुर्जर,agricultural,कृषि भूमि,84152.64,85310.86,1158.22,34 बीघा 2 बिस्वा,False,,0,verified,None,Mustard,Red,1327,113207504.94,जमाबंदी,2021,26.074737,74.723303
172035/757/82,757,182,Gordhanpura,गोर्धनपुरा,Hari Rajput,हरि राजपूत,Durga Gurjar,दुर्गा गुर्जर,residential,आवासीय,20203.63,20326.9,123.27,8 बीघा 2 बिस्वा,False,,0,verified,Tube Well,,Loamy,19963,405785989.39,खतौनी,2016,26.075638,74.727719
172035/479/83,479,135,Gordhanpura,गोर्धनपुरा,Suresh Mishra,सुरेश मिश्रा,Mahesh Gupta,महेश गुप्ता,agricultural,कृषि भूमि,17134.97,17245.45,110.48,6 बीघा 17 बिस्वा,False,,0,verified,Tube Well,Moong,Sandy,790,13623908.14,बी-1,2016,26.075004,74.731457
172035/521/84,521,129,Gordhanpura,गोर्धनपुरा,Shyam Rajput,श्याम राजपूत,Vinod Mishra,विनोद मिश्रा,agricultural,कृषि भूमि,57959.89,57292.31,-667.58,22 बीघा 18 बिस्वा,False,,0,verified,Well,Moong,Sandy,1997,114412750.27,खतौनी,2015,26.07578,74.734286
172035/114/85,114,152,Gordhanpura,गोर्धनपुरा,Radha Verma,राधा वर्मा,Hari Mishra,हरि मिश्रा,barren,बंजर,28196.01,17886.66,-10309.35,7 बीघा 3 बिस्वा,True,high,-36.6,needs_review,None,,Clay,486,8692918.15,खसरा,2022,26.075641,74.739184
